day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026/2/9,android,KR,0,6931591409752,6939191252952,PIC16-4级蛇女-Vincent-韩语,,,0,7,0,0,0,0,0,0,0,0
2026/2/9,android,KR,0,6931591409752,6939853826152,PIC五图05-韩语,,,0,7,0,0,0,0,0,0,0,0
2026/2/9,android,US,0,6970072321780,6970160770180,PIC五图01-英语,,,0,7,0,0,0,0,0,0,0,0
2026/2/9,android,US,0,120238607155630510,120239422701180510,PIC五图04-英语,120239422701180510,PIC五图04-英语,61.34,7,0,0,0,6110,84,5,4,1
2026/2/9,android,US,0,6970072321780,6970072322580,PIC18-合成加特林-Vincent-英语,,,0,7,0,0,0,0,0,0,0,0
2026/2/9,android,US,0,120238607155630510,120239357471640510,PIC19-合成修理师-Vincent-英语,120239357471640510,PIC19-合成修理师-Vincent-英语,171.43,7,0,0,0,17972,230,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239423107460510,PIC五图04-英语,120239423107460510,PIC五图04-英语,0.47,7,0,0,0,428,13,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239366594850510,PIC20-合成厨师长-Vincent-英语,120239366594850510,PIC20-合成厨师长-Vincent-英语,0.06,7,0,0,0,32,1,0,0,0
2026/2/10,android,TW,0,6939195938352,6941353017152,PIC34-神族阵容-Vincent-繁中,,,0,7,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,120240257805260572,120241465869820572,PIC18-合成加特林-Vincent-繁中,,,0,7,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,120240257805260572,120240257912910572,PIC19-合成修理师-Vincent-繁中,,,0,7,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,120238648236360510,120239358530950510,VID19-角色展示轮播2-Vincent-英语,120239358530950510,VID19-角色展示轮播2-Vincent-英语,100.02,7,0,0,0,4601,96,788,515,3
2026/2/10,android,US,0,6970072321780,6970282527780,VID11-合成角色展示-Vincent-通用,,,0,7,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,120238607155630510,120239357496490510,PIC23-合成犀牛-Vincent-英语,120239357496490510,PIC23-合成犀牛-Vincent-英语,39.44,7,0,0,0,4933,68,0,0,0
2026/2/3,android,ID,0,120238770649640510,120238770649810510,VID15-卡牌滚动-Abbey-英语,120238770649810510,VID15-卡牌滚动-Abbey-英语,21.12,6,0,0,0,17523,808,3622,1746,3
2026/2/3,android,ID,0,120238770649640510,120239279840150510,PIC06-立绘卡牌展示-Vincent-英语,120239279840150510,PIC06-立绘卡牌展示-Vincent-英语,15.22,6,0,0,0,13845,387,0,0,0
2026/2/3,android,ID,0,120238770649640510,120238770649810510,VID15-卡牌滚动-Abbey-英语,120238770649810510,VID15-卡牌滚动-Abbey-英语,21.12,6,0,0,0,17523,808,3622,1746,3
2026/2/9,android,BR,0,120239366594720510,120239366594900510,PIC14-4级佛耶哥-Vincent-英语,120239366594900510,PIC14-4级佛耶哥-Vincent-英语,10.93,6,0,0,0,5166,84,24,10,1
2026/2/9,android,BR,0,120239366594720510,120239366594840510,PIC19-合成修理师-Vincent-英语,120239366594840510,PIC19-合成修理师-Vincent-英语,6.36,6,0,0,0,3428,90,0,0,0
