day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks
2026-02-03,android,ID,0,"=""120238770649640510""","=""120239279840150510""",PIC06-立绘卡牌展示-Vincent-英语,"=""120239279840150510""",PIC06-立绘卡牌展示-Vincent-英语,15.22,6,0.0,0,0,13845.0,387.0
2026-02-03,android,ID,0,"=""120238770649640510""","=""120238770649810510""",VID15-卡牌滚动-Abbey-英语,"=""120238770649810510""",VID15-卡牌滚动-Abbey-英语,21.12,6,0.0,0,0,17523.0,808.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594900510""",PIC14-4级佛耶哥-Vincent-英语,"=""120239366594900510""",PIC14-4级佛耶哥-Vincent-英语,10.93,6,0.0,0,0,5166.0,84.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594840510""",PIC19-合成修理师-Vincent-英语,"=""120239366594840510""",PIC19-合成修理师-Vincent-英语,6.36,6,0.0,0,0,3428.0,90.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594760510""",PIC30-世界观2-Vincent-英语,"=""120239366594760510""",PIC30-世界观2-Vincent-英语,6.01,6,0.0,0,0,2491.0,72.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239423107450510""",PIC五图05-英语,"=""120239423107450510""",PIC五图05-英语,3.12,6,0.0,0,0,1688.0,24.0
2026-02-09,android,KR,0,"=""6931593682152""","=""6941085524752""",VID11-合成角色展示-Vincent-韩语,,,0.0,6,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939195938352""","=""6939210114152""",PIC18-合成加特林-Vincent-繁中,,,0.0,6,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939217868352""","=""6939219987752""",VID12-英雄展示1-Abbey-通用,,,0.0,6,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""120238607155630510""","=""120239357471660510""",PIC21-合成火法师-Vincent-英语,"=""120239357471660510""",PIC21-合成火法师-Vincent-英语,40.88,6,0.0,0,0,3794.0,62.0
