date,account_id,ad_id,ad_name,spend,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026-02-09,898128255870755,120241467574950572,PIC16-4级蛇女-Vincent-韩语,3.9,573,4,0.0,0.0,0.0
2026-02-09,898128255870755,120241468014060572,VID11-合成角色展示-Vincent-韩语,3.09,247,2,37.0,34.0,3.0
2026-02-09,898128255870755,120241468014200572,VID18-角色展示轮播-Vincent-韩语,27.57,2510,41,279.0,190.0,2.0
2026-02-09,898128255870755,120241473277760572,PIC五图05-繁中,7.71,1297,10,0.0,0.0,1.0
2026-02-10,898128255870755,120240257805250572,PIC04-合成场景版-Vincent-繁中,29.24,4012,65,0.0,0.0,0.0
2026-02-10,898128255870755,120240257805270572,PIC30-世界观2-Vincent-繁中,19.09,2945,41,13.0,9.0,2.0
2026-02-10,898128255870755,120240257912910572,PIC19-合成修理师-Vincent-繁中,56.72,6068,86,0.0,0.0,0.0
2026-02-10,898128255870755,120241465869800572,PIC五图01-繁中,27.03,2670,57,0.0,0.0,1.0
2026-02-10,898128255870755,120241465869820572,PIC18-合成加特林-Vincent-繁中,30.61,2976,71,0.0,0.0,0.0
2026-02-10,898128255870755,120241465869840572,VID10-选择英雄+战斗-Vincent,46.18,5916,55,593.0,473.0,4.0
2026-02-10,898128255870755,120241467475140572,PIC五图05-韩语,9.37,701,11,5.0,4.0,1.0
2026-02-10,898128255870755,120241467560440572,PIC五图01-韩语,61.52,4608,102,1.0,0.0,1.0
2026-02-10,898128255870755,120241467574950572,PIC16-4级蛇女-Vincent-韩语,6.03,641,11,0.0,0.0,0.0
2026-02-10,898128255870755,120241468014060572,VID11-合成角色展示-Vincent-韩语,9.81,681,11,67.0,44.0,3.0
2026-02-10,898128255870755,120241468014200572,VID18-角色展示轮播-Vincent-韩语,88.27,5777,120,666.0,424.0,2.0
2026-02-10,898128255870755,120241473277760572,PIC五图05-繁中,1.69,472,4,1.0,1.0,3.0
2026-02-10,898128255870755,120241486368860572,VID24-DMG战斗2-Vincent-韩语,42.7,3385,44,319.0,173.0,3.0
2026-02-10,898128255870755,120241486390100572,PIC05-合成祭司-Vincent-韩语,55.41,3081,65,0.0,0.0,0.0
2026-02-10,898128255870755,120241501180390572,PIC五图01-繁中,17.76,2101,29,0.0,0.0,0.0
2026-02-10,898128255870755,120241501180420572,PIC18-合成加特林-Vincent-繁中,32.07,3125,35,1.0,0.0,1.0
2026-02-09,1384270166683478,6931591409952,PIC02-登录送连抽扁平版-Vincent-韩语,25.6,1205,24,1.0,0.0,3.0
2026-02-09,1384270166683478,6931592716752,PIC06-立绘卡牌展示-Vincent-韩语,22.7,1247,31,1.0,1.0,3.0
2026-02-09,1384270166683478,6931592749952,PIC05-合成祭司-Vincent-韩语,211.08,19797,305,0.0,0.0,1.0
2026-02-09,1384270166683478,6931593311552,PIC08-升级进化-Vincent-韩语,67.75,11205,127,0.0,0.0,2.0
2026-02-09,1384270166683478,6931593368752,PIC04-合成场景版-Vincent-韩语,13.65,1419,23,0.0,0.0,0.0
2026-02-09,1384270166683478,6931593682752,VID26-魔族失败胜利-Vincent-韩语,39.02,3325,51,531.0,365.0,5.0
2026-02-09,1384270166683478,6939191252952,PIC16-4级蛇女-Vincent-韩语,108.34,26741,200,2.0,0.0,2.0
2026-02-09,1384270166683478,6939191253152,PIC17-4级巫妖-Vincent-韩语,142.77,22904,210,0.0,0.0,1.0
2026-02-09,1384270166683478,6939191253352,PIC13-4级厨师长-Vincent-韩语,36.18,9051,44,0.0,0.0,1.0
2026-02-09,1384270166683478,6939191253552,PIC14-4级佛耶哥-Vincent-韩语,33.96,10724,62,61.0,56.0,3.0
