day,os_name,country,events,campaign_id,creative_id_network,creative_network,account_id,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长,match_prio
2026/2/10,android,TW,0,6939195938352,6939210113952,PIC22-合成蛇女-Vincent-繁中,1384270166683478,6939210113952,PIC22-合成蛇女-Vincent-繁中,1.06,0,0,373,3,373,3,0,0,0,1
2026/2/10,android,TW,0,6939195938352,6941353952752,PIC22-合成蛇女-Vincent-繁中,1384270166683478,6941353952752,PIC22-合成蛇女-Vincent-繁中,2.34,0,0,735,8,735,8,0,0,0,1
2026/2/10,android,TW,0,6939195938352,6941395932352,PIC22-合成蛇女-Vincent-繁中,1384270166683478,6941395932352,PIC22-合成蛇女-Vincent-繁中,2.48,0,0,504,3,504,3,0,0,0,1
2026/2/10,android,TW,0,6939195938352,6941353017152,PIC34-神族阵容-Vincent-繁中,1384270166683478,6941353017152,PIC34-神族阵容-Vincent-繁中,17.13,0,0,1149,42,1149,42,3,0,1,1
2026/2/10,android,TW,0,6939195938352,6941353167752,PIC35-横版海报-Vincent-通用,1384270166683478,6941353167752,PIC35-横版海报-Vincent-通用,20.09,0,0,2072,66,2072,66,0,0,1,1
2026/2/10,android,KR,0,6931591409752,6939192111552,PIC18-合成加特林-Vincent-韩语,1384270166683478,6939192111552,PIC18-合成加特林-Vincent-韩语,118.71,0,0,19357,215,19357,215,7,2,1,1
2026/2/11,android,BR,0,120239366594720510,120239366594860510,PIC21-合成火法师-Vincent-英语,,,,0,9,0,0,0,0,0,0,0,0,1
2026/2/10,android,KR,0,6931591409752,6939192111752,PIC19-合成修理师-Vincent-韩语,1384270166683478,6939192111752,PIC19-合成修理师-Vincent-韩语,22.38,0,0,2779,48,2779,48,3,1,3,1
2026/2/10,android,KR,0,6931591409752,6939192112152,PIC21-合成火法师-Vincent-韩语,1384270166683478,6939192112152,PIC21-合成火法师-Vincent-韩语,2,0,0,202,5,202,5,0,0,1,1
2026/2/10,android,KR,0,6931591409752,6939192111152,PIC22-合成蛇女-Vincent-韩语,1384270166683478,6939192111152,PIC22-合成蛇女-Vincent-韩语,1.06,0,0,188,2,188,2,0,0,0,1
2026/2/10,android,KR,0,6931591409752,6939192224152,PIC23-合成犀牛-Vincent-韩语,1384270166683478,6939192224152,PIC23-合成犀牛-Vincent-韩语,0.71,0,0,63,0,63,0,0,0,0,1
2026/2/10,android,KR,0,6931591409752,6941352867552,PIC34-神族阵容-Vincent-韩语,1384270166683478,6941352867552,PIC34-神族阵容-Vincent-韩语,31.09,0,0,2094,46,2094,46,18,16,3,1
2026/2/10,android,KR,0,6931591409752,6941352859352,PIC35-横版海报-Vincent-通用,1384270166683478,6941352859352,PIC35-横版海报-Vincent-通用,112.31,0,0,9852,188,9852,188,6,3,1,1
2026/2/10,android,KR,0,6931591409752,6939853826352,PIC五图01-韩语,1384270166683478,6939853826352,PIC五图01-韩语,255.81,0,0,22043,535,22043,535,1,1,2,1
2026/2/10,android,KR,0,6931591409752,6939853826152,PIC五图05-韩语,1384270166683478,6939853826152,PIC五图05-韩语,26.72,0,0,1833,27,1833,27,10,8,2,1
2026/2/10,android,KR,0,6931591409752,6939860601752,PIC五图06-韩语,1384270166683478,6939860601752,PIC五图06-韩语,3.62,0,0,268,3,268,3,0,0,1,1
2026/2/10,android,KR,0,6931593682152,6939193504352,VID11-合成角色展示-Vincent-韩语,1384270166683478,6939193504352,VID11-合成角色展示-Vincent-韩语,214.02,0,0,13649,488,13649,488,5099,4585,8,1
2026/2/10,android,KR,0,6931593682152,6941085524752,VID11-合成角色展示-Vincent-韩语,1384270166683478,6941085524752,VID11-合成角色展示-Vincent-韩语,140.14,0,0,10221,242,10221,242,2172,1860,5,1
2026/2/10,android,KR,0,6931593682152,6939193162952,VID18-角色展示轮播-Vincent-韩语,1384270166683478,6939193162952,VID18-角色展示轮播-Vincent-韩语,140.16,0,0,9914,233,9914,233,1238,714,3,1
2026/2/10,android,KR,0,120241467475180572,120241486390100572,PIC05-合成祭司-Vincent-韩语,898128255870755,120241486390100572,PIC05-合成祭司-Vincent-韩语,55.41,0,0,3081,65,3081,65,0,0,0,1
